id,kind,name,lat,lng,alias_count
geonames:11611481,city,土佐清水,32.78396,132.96324,2
geonames:11611482,city,戸田,35.81447,139.66018,2
geonames:11611483,city,多久,33.27709,130.10928,2
geonames:11611484,city,竹田,32.95935,131.3673,2
geonames:11611486,city,高砂,34.76298,134.79229,2
geonames:11611487,city,立川,35.7091,139.41891,2
geonames:11611490,city,下関,34.16736,131.00012,2
geonames:11611608,city,西都,32.08199,131.39957,2
geonames:11611609,city,相模原,35.56707,139.24167,2
geonames:11611610,city,小郡,33.38738,130.54865,2
geonames:11611611,city,小城,33.28028,130.19503,2
geonames:11611613,city,長久手,35.17325,137.05667,2
geonames:11611614,city,宗像,33.7957,130.55895,2
geonames:11611615,city,三豊,34.21052,133.6746,2
geonames:11611616,city,美作,35.04138,134.22443,2
geonames:11611617,city,国立,35.6833,139.43848,2
geonames:11611618,city,三宅,34.08991,139.5195,2
geonames:11611619,city,八丈町,33.10276,139.7788,2
geonames:11611620,city,大島町,34.74824,139.36243,2
geonames:11611621,city,小笠原,27.09688,142.20377,2
geonames:11611622,city,木津川,34.73668,135.83994,2
geonames:11611623,city,川西,34.88114,135.3986,2
geonames:11611624,city,交野,34.79329,135.68596,2
geonames:11611625,city,日向,32.42272,131.64093,2
geonames:11611626,city,坂井,36.1473,136.19408,2
geonames:11611627,city,東広島,34.40861,132.73682,2
geonames:11611628,city,東久留米,35.75202,139.51169,2
geonames:11611629,city,羽村,35.76232,139.31952,2
geonames:11611630,city,船橋,35.72045,140.01148,2
geonames:11611631,city,富士吉田,35.48486,138.81123,2
geonames:11611632,city,府中,35.67452,139.48216,2
geonames:11611635,city,富士見,35.84815,139.55521,2
geonames:11611638,city,筑後,33.20537,130.49183,2
geonames:11611641,city,さぬき,34.26686,134.22958,2
geonames:11611642,city,綾瀬,35.43515,139.4256,2
geonames:11611643,city,有田,34.08089,135.11905,2
geonames:11611645,city,Shikaoi,43.10474,142.99873,1
geonames:11611646,city,姶良,31.77429,130.59208,2
geonames:11611659,city,あま,35.18307,136.7997,2
geonames:11611661,city,深谷,36.1771,139.26029,3
geonames:11611930,city,小平,35.72603,139.48508,2
geonames:11611931,city,西東京,35.73355,139.54761,3
geonames:11611932,city,南陽,38.04322,140.11276,2
geonames:11611933,city,加古川,34.75064,134.86954,3
geonames:11611934,city,観音寺,34.06972,133.64902,3
geonames:11611935,city,加東,34.92422,135.02609,2
geonames:11611936,city,美祢,34.18681,131.21624,2
geonames:11611937,city,飛騨,36.24483,137.17323,2
geonames:11611938,city,清瀬,35.77952,139.53014,2
geonames:11611939,city,城陽,34.84396,135.80561,2
geonames:11611940,city,弥富,35.1053,136.73378,2
geonames:11611941,city,登米,38.70882,141.15578,2
